round,condition_type,agent_step,terminated,reason,search_depth,region,old_color,new_color,n_conflict_edges_before,n_conflict_edges_after,conflict_delta,conflict_regions_before,selected_found_solution_within_depth,planning_depth_used,tree_iterations_used,expanded_root_children,improved_conflicts
9,requires_adjacent_nonconflict_pair,3,False,,0,14,0,3,4,2,-2,2 15 25 26 38 39,True,4,20,1,True
9,requires_adjacent_nonconflict_pair,4,False,,1,23,0,3,2,2,0,2 25 39,True,4,20,2,False
9,requires_adjacent_nonconflict_pair,5,False,,0,24,2,0,2,0,-2,2 25 39,True,4,20,1,True
10,requires_adjacent_nonconflict_pair,0,False,,0,0,0,2,7,5,-2,1 2 3 4 9 17 19 26 28 31 39,False,4,20,4,True
10,requires_adjacent_nonconflict_pair,1,False,,0,3,1,3,5,3,-2,2 3 4 9 17 28 31 39,False,4,20,3,True
10,requires_adjacent_nonconflict_pair,2,False,,0,16,0,2,3,1,-2,2 9 17 28 39,True,4,20,1,True
10,requires_adjacent_nonconflict_pair,3,False,,1,7,0,2,1,1,0,2 28,True,4,20,13,False
10,requires_adjacent_nonconflict_pair,4,False,,2,4,2,1,1,1,0,2 28,True,4,20,13,False
10,requires_adjacent_nonconflict_pair,5,False,,1,31,0,2,1,1,0,2 28,True,4,20,1,False
10,requires_adjacent_nonconflict_pair,6,False,,0,1,1,0,1,0,-1,2 28,True,4,20,1,True
