candidateIndex,seedAttemptIndex,seed,targetLabel,difficultyLabel,difficultyScore,conditionType,generationMode,optimalLength,solvedWithinBound,planningRequirementCollected,nCollectedOptimalSolutions,solutionCollectionCapped,initialConflictEdges,initialConflictRegions,adjacentNonconflictRegions,adjacencyPairs,searchNodes,elapsedSeconds
20,22,8021,,easy,3.0,requires_adjacent_nonconflict_pair,uniform_3_4,3,True,0,1,False,5,7,14,100,1053,0.0302
24,26,8025,,easy,3.0,requires_adjacent_nonconflict_pair,easy_perturb,3,True,0,1,False,6,9,16,107,231,0.3465
35,37,8036,,easy,3.0,requires_nonconflict_region,uniform_3_4,3,True,0,1,False,4,7,17,106,1107,0.0385
42,45,8044,,easy,3.0,requires_nonconflict_region,hard_perturb,3,True,0,1,False,5,7,18,109,515,0.0237
43,47,8046,,easy,3.0,requires_nonconflict_region,uniform_3_4,3,True,0,1,False,3,6,16,105,390,0.0278
46,50,8049,,easy,3.0,requires_adjacent_nonconflict_pair,hard_perturb,3,True,0,1,False,8,9,15,110,458,0.047
49,53,8052,,easy,3.0,requires_nonconflict_region,uniform_5_6,3,True,0,1,False,4,7,20,107,880,0.2329
52,56,8055,,easy,3.0,requires_adjacent_nonconflict_pair,easy_perturb,3,True,0,1,False,5,8,14,103,432,0.0343
53,57,8056,,easy,3.0,requires_nonconflict_region,uniform_3_4,3,True,0,1,False,5,8,18,105,419,1.7696
58,62,8061,,easy,3.0,requires_adjacent_nonconflict_pair,uniform_3_4,3,True,0,1,False,5,8,17,103,455,0.0171
61,65,8064,,easy,3.0,requires_nonconflict_region,hard_perturb,3,True,0,1,False,6,8,18,106,1092,0.0442
66,70,8069,,easy,3.0,requires_adjacent_nonconflict_pair,hard_perturb,3,True,0,1,False,6,9,17,106,573,0.0525
67,71,8070,,easy,3.0,requires_nonconflict_region,easy_perturb,3,True,0,1,False,5,7,16,105,705,0.0232
68,72,8071,,easy,3.0,requires_adjacent_nonconflict_pair,uniform_3_4,3,True,0,1,False,5,8,15,107,313,0.0505
71,76,8075,,easy,3.0,requires_adjacent_nonconflict_pair,easy_perturb,3,True,0,1,False,5,8,23,107,355,0.0804
72,77,8076,,easy,3.0,requires_nonconflict_region,uniform_3_4,3,True,0,1,False,6,9,20,100,276,0.0115
86,92,8091,,easy,3.0,requires_adjacent_nonconflict_pair,uniform_3_4,3,True,0,1,False,5,8,15,102,273,0.0169
91,97,8096,,easy,3.0,requires_nonconflict_region,uniform_3_4,3,True,0,1,False,3,6,12,108,244,0.0156
16,17,8016,,medium,3.1,requires_nonconflict_region,uniform_3_4,3,True,1,1,False,2,4,9,105,1939,0.0641
11,12,8011,,other,4.0,requires_adjacent_nonconflict_pair,uniform_3_4,4,True,0,1,False,8,12,17,106,702,0.0317
13,14,8013,,other,4.0,requires_adjacent_nonconflict_pair,uniform_7_8,4,True,0,1,False,5,9,15,107,1903,0.082
28,30,8029,,other,4.0,requires_adjacent_nonconflict_pair,hard_perturb,4,True,0,1,False,11,9,12,105,1518,0.1107
30,32,8031,,other,4.0,requires_adjacent_nonconflict_pair,uniform_3_4,4,True,0,1,False,7,11,22,104,904,0.0362
39,42,8041,,other,4.0,requires_adjacent_nonconflict_pair,uniform_3_4,4,True,0,1,False,6,10,14,101,1757,0.0624
40,43,8042,,other,4.0,requires_nonconflict_region,uniform_5_6,4,True,0,1,False,8,12,17,105,729,0.0499
73,78,8077,,other,4.0,requires_adjacent_nonconflict_pair,uniform_5_6,4,True,0,1,False,7,11,19,106,770,0.0577
77,83,8082,,other,4.0,requires_nonconflict_region,uniform_5_6,4,True,0,1,False,8,11,17,105,1376,0.0636
79,85,8084,,other,4.0,requires_nonconflict_region,hard_perturb,4,True,0,1,False,8,12,18,108,888,0.0395
81,87,8086,,other,4.0,requires_nonconflict_region,uniform_3_4,4,True,0,1,False,6,10,16,108,1265,0.0517
84,90,8089,,other,4.0,requires_adjacent_nonconflict_pair,hard_perturb,4,True,0,1,False,7,11,21,108,731,0.0387
94,100,8099,,other,4.0,requires_adjacent_nonconflict_pair,hard_perturb,4,True,0,1,False,5,9,16,105,830,0.0348
96,102,8101,,other,4.0,requires_adjacent_nonconflict_pair,uniform_3_4,4,True,0,1,False,6,10,22,107,751,0.0715
99,105,8104,,other,4.0,requires_nonconflict_region,hard_perturb,4,True,0,1,False,7,10,12,104,1259,0.1146
41,44,8043,,medium,4.1,requires_adjacent_nonconflict_pair,uniform_7_8,4,True,1,1,False,3,6,19,106,4016,0.1393
17,18,8017,,other,5.0,requires_adjacent_nonconflict_pair,uniform_5_6,5,True,0,1,False,6,11,17,101,2589,0.0925
21,23,8022,,other,5.0,requires_nonconflict_region,uniform_5_6,5,True,0,1,False,8,13,21,107,2481,0.2696
26,28,8027,,other,5.0,requires_adjacent_nonconflict_pair,uniform_5_6,5,True,0,1,False,11,13,21,104,2831,0.1809
31,33,8032,,other,5.0,requires_nonconflict_region,uniform_5_6,5,True,0,1,False,9,14,26,104,2937,0.1162
44,48,8047,,other,5.0,requires_adjacent_nonconflict_pair,uniform_5_6,5,True,0,1,False,7,12,19,102,4228,0.2973
59,63,8062,,other,5.0,requires_nonconflict_region,uniform_5_6,5,True,0,1,False,7,12,19,109,3349,0.1618
64,68,8067,,other,5.0,requires_adjacent_nonconflict_pair,uniform_5_6,5,True,0,1,False,6,11,16,104,6281,0.2044
82,88,8087,,other,5.0,requires_adjacent_nonconflict_pair,uniform_5_6,5,True,0,1,False,8,13,21,101,3387,0.1649
87,93,8092,,other,5.0,requires_nonconflict_region,uniform_5_6,5,True,0,1,False,5,10,22,103,3252,0.1407
88,94,8093,,other,5.0,requires_adjacent_nonconflict_pair,uniform_7_8,5,True,0,1,False,6,9,23,105,3570,0.1585
93,99,8098,,other,5.0,requires_nonconflict_region,uniform_7_8,5,True,0,1,False,8,11,16,100,2372,0.0873
12,13,8012,,medium,5.1,requires_nonconflict_region,uniform_5_6,5,True,1,1,False,5,9,18,107,6304,0.2599
98,104,8103,,medium,5.1,requires_adjacent_nonconflict_pair,uniform_7_8,5,True,1,1,False,7,11,18,103,3095,0.1438
8,9,8008,,other,6.0,requires_nonconflict_region,uniform_7_8,6,True,0,1,False,11,16,22,105,4021,0.184
36,38,8037,,other,6.0,requires_adjacent_nonconflict_pair,uniform_5_6,6,True,0,1,False,10,13,20,105,10442,0.4713
37,39,8038,,other,6.0,requires_nonconflict_region,uniform_7_8,6,True,0,1,False,11,17,20,105,3247,0.1547
45,49,8048,,other,6.0,requires_nonconflict_region,uniform_7_8,6,True,0,1,False,10,14,20,105,6082,0.2891
54,58,8057,,other,6.0,requires_adjacent_nonconflict_pair,uniform_5_6,6,True,0,1,False,9,14,18,102,51844,2.0695
60,64,8063,,other,6.0,requires_adjacent_nonconflict_pair,uniform_7_8,6,True,0,1,False,9,14,25,103,5468,0.2648
74,79,8078,,other,6.0,requires_nonconflict_region,uniform_7_8,6,True,0,1,False,11,17,21,105,10594,0.5551
92,98,8097,,other,6.0,requires_adjacent_nonconflict_pair,uniform_5_6,6,True,0,1,False,11,14,24,107,5338,0.2688
3,3,8002,,other,6.1,requires_nonconflict_region,uniform_5_6,6,True,1,1,False,7,10,16,102,6895,0.3143
32,34,8033,,other,6.1,requires_adjacent_nonconflict_pair,uniform_7_8,6,True,1,1,False,7,12,23,104,5362,0.2638
97,103,8102,,other,6.1,requires_nonconflict_region,uniform_5_6,6,True,1,1,False,12,13,14,102,6789,0.3097
4,4,8003,,above_bound,7.0,requires_adjacent_nonconflict_pair,uniform_7_8,,False,,0,False,11,15,20,103,16865,0.6708
18,19,8018,,above_bound,7.0,requires_nonconflict_region,uniform_7_8,,False,,0,False,9,15,19,106,34286,1.2815
22,24,8023,,above_bound,7.0,requires_adjacent_nonconflict_pair,uniform_7_8,,False,,0,False,11,18,20,102,36649,1.5026
27,29,8028,,above_bound,7.0,requires_nonconflict_region,uniform_7_8,,False,,0,False,12,16,23,103,20229,0.8068
50,54,8053,,above_bound,7.0,requires_adjacent_nonconflict_pair,uniform_7_8,,False,,0,False,16,16,23,112,3822,0.1985
55,59,8058,,above_bound,7.0,requires_nonconflict_region,uniform_7_8,,False,,0,False,13,17,13,102,12272,0.5343
65,69,8068,,above_bound,7.0,requires_nonconflict_region,uniform_7_8,,False,,0,False,13,20,16,104,10671,3.9157
69,74,8073,,above_bound,7.0,requires_adjacent_nonconflict_pair,uniform_7_8,,False,,0,False,10,15,26,101,18285,0.7792
78,84,8083,,above_bound,7.0,requires_adjacent_nonconflict_pair,uniform_7_8,,False,,0,False,11,16,20,106,20286,1.5082
83,89,8088,,above_bound,7.0,requires_nonconflict_region,uniform_7_8,,False,,0,False,13,19,22,105,7536,0.356
